,count,mean,std,min,max
location,70705.0,168732.70823845555,43989.56815221647,60427.0,262196.0
soiltype,70705,,,,
dampingdepth,70705.0,6.0,0.0,6.0,6.0
soilwater_fc_global,70705.0,0.3096811320000001,4.355435725768027e-13,0.309681132,0.309681132
soilwater_sat_global,70705.0,0.5146530130000001,3.432833867977247e-13,0.514653013,0.514653013
drainage_rate,70705.0,50.0,0.0,50.0,50.0
deltatheta,70705.0,0.01,7.043027118363732e-15,0.01,0.01
DZF,70705.0,0.1,1.1583871400390556e-13,0.1,0.1
depth_1,70705.0,0.1,1.1583871400390556e-13,0.1,0.1
depth_2,70705.0,0.2999999999999999,3.970185611865018e-13,0.3,0.3
depth_3,70705.0,0.5,0.0,0.5,0.5
depth_4,70705.0,0.7,6.433787925267835e-13,0.7,0.7
depth_5,70705.0,1.0,0.0,1.0,1.0
depth_6,70705.0,2.0,0.0,2.0,2.0
soilwater_fc_1,70705.0,0.3407682001272895,0.03655555387398125,0.09702,0.448
soilwater_fc_2,70705.0,0.3183861558588501,0.023722504766855137,0.08573,0.4345
soilwater_fc_3,70705.0,0.3102777225090163,0.021379153241701393,0.09376,0.426
soilwater_fc_4,70705.0,0.30726559493670885,0.02069624596254536,0.10394,0.4265
soilwater_fc_5,70705.0,0.30425351234000425,0.020531247168471056,0.11412,0.427
soilwater_fc_6,70705.0,0.2985311399476699,0.019599828257210638,0.11926,0.425
soilwater_red_1,70705.0,0.20878213200000004,1.0019833654105645e-13,0.208782132,0.208782132
soilwater_red_2,70705.0,0.2453217809999999,1.7208578574918281e-13,0.245321781,0.245321781
soilwater_red_3,70705.0,0.248147023,2.2682016792618095e-13,0.248147023,0.248147023
soilwater_red_4,70705.0,0.21043101199999995,2.0961158935126268e-13,0.210431012,0.210431012
soilwater_red_5,70705.0,0.23814393799999992,2.2315640603603707e-13,0.238143938,0.238143938
soilwater_red_6,70705.0,0.23814393799999992,2.2315640603603707e-13,0.238143938,0.238143938
soilwater_wp_1,70705.0,0.1601941722650449,0.03769520886432797,0.06098,0.28484
soilwater_wp_2,70705.0,0.16056074181458171,0.04042083982574032,0.0551,0.29158
soilwater_wp_3,70705.0,0.16721470037479666,0.04336485192128326,0.04945,0.31173
soilwater_wp_4,70705.0,0.16739853390849305,0.043052585902818255,0.04942,0.31156
soilwater_wp_5,70705.0,0.16758233109398202,0.04282689129089752,0.04817,0.31246
soilwater_wp_6,70705.0,0.16589581147019308,0.04137302847297817,0.044,0.30799
soilwater_sat_1,70705.0,0.42813252584682837,0.06263055789041386,0.18059,0.58225
soilwater_sat_2,70705.0,0.3842664940244679,0.03189288458273804,0.17288,0.5075
soilwater_sat_3,70705.0,0.36763120698677604,0.024492852862789787,0.17424,0.50364
soilwater_sat_4,70705.0,0.36132905508804186,0.022207324415526936,0.17838,0.48848
soilwater_sat_5,70705.0,0.35502686514390774,0.02045667210078009,0.18236,0.47332
soilwater_sat_6,70705.0,0.3439034758503641,0.018925334436138034,0.1713,0.46364
soilwater_init_1,70705.0,0.3407682001272895,0.03655555387398125,0.09702,0.448
soilwater_init_2,70705.0,0.3183861558588501,0.023722504766855137,0.08573,0.4345
soilwater_init_3,70705.0,0.3102777225090163,0.021379153241701393,0.09376,0.426
soilwater_init_4,70705.0,0.30726559493670885,0.02069624596254536,0.10394,0.4265
soilwater_init_5,70705.0,0.30425351234000425,0.020531247168471056,0.11412,0.427
soilwater_init_6,70705.0,0.2985311399476699,0.019599828257210638,0.11926,0.425
bulkdensity_1,70705.0,1.246836222190793,0.14760323820894838,0.725,1.59
bulkdensity_2,70705.0,1.3545008136624,0.10228249372805764,0.83606,1.685
bulkdensity_3,70705.0,1.447780738278764,0.08104056381971218,0.7,1.76269
bulkdensity_4,70705.0,1.4685139893925465,0.0747175541967411,0.67,1.77365
bulkdensity_5,70705.0,1.4892472682271412,0.07059533933746141,0.64,1.78462
bulkdensity_6,70705.0,1.512150570539566,0.0652073301478617,0.63,1.77615
clay_1,70705.0,26.27362433066969,9.07021559877582,4.30495,58.4053
clay_2,70705.0,27.647250063786156,9.277236612724323,4.42537,59.65113
clay_3,70705.0,29.18418500968814,9.099884814665357,3.79886,61.23695
clay_4,70705.0,29.311080713245175,9.001620274563589,3.55,61.08281
clay_5,70705.0,29.437976416802204,8.927798642523236,3.3,60.92867
clay_6,70705.0,29.273081261296937,8.751157155505537,3.4034,62.28538
carbon_1,70705.0,42.85302725436674,21.99746651451376,2.4351,265.21625
carbon_2,70705.0,23.588266496004533,13.602225235475387,1.74333,234.78558
carbon_3,70705.0,15.72444503076162,12.585606313087487,0.54772,213.21562
carbon_4,70705.0,13.758361690828087,12.178796396405755,0.52845,205.70039
carbon_5,70705.0,11.792278352167457,11.882501513659163,0.35059,198.18516
carbon_6,70705.0,10.564476639417297,12.135938670201057,0.38716,202.42931
ammonium_1,70705.0,14.910572486669967,4.958379298910321,2.22178,37.842
ammonium_2,70705.0,16.789187723923344,5.612887963875158,2.8795,81.4338
ammonium_3,70705.0,14.336854265752068,6.605706465413172,1.96686,86.3928
ammonium_4,70705.0,13.364680691323104,6.673005749936792,2.33198,91.4832
ammonium_5,70705.0,18.588760691181673,10.394052078147098,2.63038,145.908
ammonium_6,70705.0,55.87508380397426,36.05704868473402,8.313,495.276
nitrate_1,70705.0,34.79133576140301,11.569551736718978,5.18414,88.298
nitrate_2,70705.0,39.17477130881833,13.096738582701397,6.71884,190.0122
nitrate_3,70705.0,33.45265996987484,15.413315052478067,4.58935,201.5832
nitrate_4,70705.0,31.184254945619124,15.57034677805492,5.44129,213.4608
nitrate_5,70705.0,43.373774887773145,24.252788159771494,6.13755,340.45199
nitrate_6,70705.0,130.37519554204087,84.13311356818647,19.397,1155.644
sand_1,70705.0,33.82065633576126,15.807636246137509,1.60665,86.01793
sand_2,70705.0,33.46367696061099,15.76732484006347,1.66535,86.96805
sand_3,70705.0,32.829439474011735,15.502685920103008,1.82275,87.23907
